Date,Open,High,Low,Close,12-day ema,26-day ema,MACD,Volume
18-05-31,50400,50800,49850,50700,50940.71826,3494.353298,47446.36496,63491109
18-06-01,50500,51700,49950,51300,50995.99237,3531.203592,47464.78878,13038499
18-06-04,50800,51200,50700,51100,51011.99355,3513.55414,47498.43941,9767171
18-06-05,51100,51400,50400,51300,51056.30223,3529.726605,47526.57563,9144100
18-06-07,51800,51800,50500,50600,50986.10189,3476.630717,47509.47117,13590016
18-06-08,50200,50400,49600,49650,50780.54775,3410.344646,47370.20311,16951706
18-06-11,49750,50300,49350,49900,50645.07887,3433.962093,47211.11677,10571312
18-06-12,49700,49800,49250,49400,50453.52827,3395.108329,47058.41994,12110569
18-06-14,49000,49000,48200,48200,50106.83161,3309.208191,46797.62342,20971729
18-06-15,48500,48700,47650,47650,49728.85752,3275.075153,46453.78237,17080892
18-06-18,47600,47650,46200,46600,49247.49482,3199.922994,46047.57183,16661870
18-06-19,47200,47350,46500,47000,48901.72639,3235.333559,45666.39283,15217971
18-06-20,47450,47600,46850,47000,48609.1531,3232.609669,45376.54343,12959316
18-06-21,47900,47900,47050,47050,48369.28339,3236.522903,45132.76049,10015541
18-06-22,47000,47250,46200,47250,48197.08595,3251.0367,44946.04925,10298006
18-06-25,47050,47050,46150,46650,47959.07272,3205.475809,44753.59691,10587711
18-06-26,45900,47300,45900,47000,47811.52307,3234.906419,44576.61666,11223166
18-06-27,47450,48500,47000,47950,47832.82722,3303.012897,44529.81432,15274752
18-06-28,46850,47150,46600,46800,47673.93072,3212.588752,44461.34197,12784800
18-06-29,46250,47150,46200,46650,47516.40292,3208.433344,44307.96957,14099635
18-07-02,46500,47150,45500,45550,47213.87939,3127.271509,44086.60788,13112253
18-07-03,45750,46450,45750,46150,47050.20564,3177.959172,43872.24647,10959655
18-07-04,46700,47050,46050,46250,46927.09708,3181.467528,43745.62955,8776763
18-07-05,46100,46550,45600,45950,46776.77445,3158.975432,43617.79902,7039773
18-07-06,45500,45850,44650,44900,46488.03992,3082.927816,43405.11211,17843706
18-07-09,45500,46100,45200,45600,46351.41839,3140.629484,43210.78891,11602464
18-07-10,46200,46550,46100,46300,46343.50787,3188.042746,43155.46513,10528665
18-07-11,46400,46450,45400,46000,46290.66051,3162.17335,43128.48716,11224077
18-07-12,45900,46250,45450,45500,46169.02043,3127.126267,43041.89416,11828104
18-07-13,45800,46500,45750,46500,46219.94036,3203.89627,43016.04409,11543389
18-07-16,46800,46800,46000,46050,46193.79569,3164.657552,43029.13814,7678719
18-07-17,46150,46200,45600,45850,46140.90405,3152.8611,42988.04295,8892953
18-07-18,46700,47200,46450,46550,46203.84189,3205.620371,42998.22151,10952645
18-07-19,47050,47200,46600,46900,46310.94313,3227.487892,43083.45524,9880128
18-07-20,47000,47600,46700,47450,46486.18265,3266.546515,43219.63614,10474547
18-07-23,47100,47200,46150,46500,46488.3084,3193.171636,43295.13676,10823782
18-07-24,46350,46600,45950,46150,46436.26095,3172.889931,43263.37102,8261363
18-07-25,46250,46550,45900,46150,46392.22081,3174.450062,43217.77074,7222471
18-07-26,46100,47000,46000,46900,46470.34068,3229.885608,43240.45507,7374946
18-07-27,46450,47000,46450,46900,46536.44212,3225.621335,43310.82078,4762460
18-07-30,46550,46800,46350,46500,46530.83564,3196.319726,43334.51591,5723035
18-07-31,46200,46450,46000,46250,46487.63015,3180.055178,43307.57498,8033607
18-08-01,46050,46850,46050,46550,46497.22551,3203.528519,43293.697,7484499
18-08-02,46550,46800,45500,45550,46351.49851,3127.648803,43223.84971,8560924
18-08-03,45850,45900,45450,45750,46258.96028,3148.300519,43110.65976,8274944
18-08-06,46150,46150,45750,45800,46188.35101,3150.41563,43037.93538,6771979
18-08-07,46300,46750,45900,46700,46267.06624,3216.919595,43050.14664,9058174
18-08-08,47000,47000,46550,46800,46349.05605,3219.211313,43129.84473,6429338
18-08-09,47000,47050,46450,46900,46433.81665,3226.442435,43207.37422,12010886
18-08-10,46150,46400,44850,45400,46274.76794,3114.775083,43159.99285,16670643
18-08-13,44950,45100,44650,45050,46086.3421,3097.438954,42988.90315,9803831
18-08-14,44850,45400,44850,45150,45942.28947,3106.17991,42836.10956,6409259
18-08-16,43800,44650,43700,44250,45681.93724,3038.840862,42643.09638,10088229
18-08-17,44050,44400,44050,44100,45438.56228,3032.909677,42405.65261,6808747
18-08-20,43500,44200,43500,43850,45194.16809,3014.847404,42179.32068,7289124
18-08-21,43700,44900,43700,44800,45133.52684,3086.60718,42046.91966,9520270
18-08-22,45150,46200,44900,46100,45282.21502,3177.383493,42104.83153,11641656
18-08-23,46150,46200,45700,46200,45423.41271,3177.808107,42245.6046,6730918
18-08-24,45900,46400,45550,46150,45535.19537,3174.071741,42361.12363,6582535
18-08-27,46100,46550,46000,46300,45652.85762,3185.470265,42467.38736,5263782
18-08-28,46800,46950,46300,46550,45790.87952,3203.111974,42587.76755,7365976
18-08-29,46750,46800,46400,46800,45946.12883,3220.273438,42725.85539,5572374
18-08-30,46950,47950,46700,47650,46208.26286,3281.916288,42926.34657,12193231
18-08-31,47100,48450,47000,48450,46553.14549,3336.43379,43216.7117,13577454
18-09-03,48200,48300,47300,47450,46691.12311,3258.166062,43432.95705,8595084
18-09-04,47550,47800,47200,47650,46838.64263,3279.001471,43559.64116,6791255
18-09-05,47300,47450,46400,46600,46801.92838,3199.620969,43602.30741,9139998
18-09-06,46200,46400,45800,46100,46693.9394,3168.690125,43525.24927,9040553
18-09-07,44500,45200,44400,44900,46417.94872,3082.180532,43335.76819,18285508
18-09-10,45450,45550,45000,45500,46276.72584,3133.27956,43143.44628,9979838
18-09-11,45550,45900,45050,45050,46087.99879,3096.015532,42991.98326,9865790
18-09-12,44900,45100,44500,44550,45851.38359,3061.844959,42789.53863,12995269
18-09-13,44550,44750,44000,44050,45574.24765,3027.436428,42546.81123,18277942
18-09-14,45000,45850,44900,45850,45616.67109,3163.416571,42453.25452,12446344
18-09-17,45550,45800,44900,45150,45544.87554,3101.104708,42443.77083,8123384
18-09-18,44950,45900,44700,45500,45537.97161,3131.823854,42406.14776,9987090
18-09-19,46000,46200,45700,46150,45632.12982,3177.608991,42454.52083,9367454
18-09-20,46850,47600,46400,47250,45881.03293,3255.568539,42625.46439,13536966
18-09-21,46550,47550,46550,47400,46114.72017,3260.682762,42854.03741,14476906
18-09-27,46950,47500,46450,47500,46327.84014,3267.696768,43060.14338,15804586
18-09-28,47250,47250,46300,46450,46346.63397,3189.379451,43157.25452,11270515
18-10-01,46450,46800,45800,46350,46347.15182,3187.996452,43159.15537,6354983
18-10-02,46450,46700,45700,45700,46247.59,3139.954689,43107.63531,6607188
18-10-04,45150,45600,44700,44700,46009.49923,3069.576135,42939.9231,11865327
18-10-05,44800,45500,44550,44700,45808.03781,3074.98987,42733.04794,10544165
18-10-08,44200,45200,44200,44950,45676.03199,3093.091947,42582.94005,6759464
18-10-10,45250,45500,44500,45300,45618.18092,3117.625406,42500.55551,10341349
18-10-11,44000,44650,43100,43100,45230.76847,2952.775254,42277.99322,19324537
18-10-12,43200,44650,43200,44000,45041.41947,3032.122701,42009.29677,12640906
18-10-15,44050,44050,43350,43800,44850.43186,3011.204237,41839.22763,7434522
18-10-16,43700,44150,43350,43600,44658.05773,2997.998535,41660.0592,6825677
18-10-17,44150,44500,44000,44150,44579.895,3039.755098,41540.1399,8306193
18-10-18,43950,44450,43700,44050,44498.37269,3029.135648,41469.23705,8347725
18-10-19,43900,44150,43450,43900,44406.31536,3018.841417,41387.47394,7842520
18-10-22,43450,43950,43200,43550,44274.57453,2993.707355,41280.86718,8357648
18-10-23,43300,43450,42550,43050,44086.17845,2958.603708,41127.57474,9531231
18-10-24,43050,43100,42250,42550,43849.8433,2924.266951,40925.57635,13522825
18-10-25,40600,41550,40550,41000,43411.40587,2812.093425,40599.31245,19338170
18-10-26,41100,41300,40400,41000,43040.42035,2820.722158,40219.6982,14413864
18-10-29,40850,41950,40550,41400,42788.04799,2849.688039,39938.35995,14460521
18-10-30,41400,43000,41000,42350,42720.65599,2917.830265,39802.82573,14205190
18-10-31,42900,43350,41700,42400,42671.3243,2916.292259,39755.03204,17621480
18-11-01,42450,42950,42150,42150,42591.12056,2897.892048,39693.22851,13423132
18-11-02,43050,44250,42800,44150,42830.94817,3047.455597,39783.49257,16517112
18-11-05,43750,43800,42900,43800,42980.03307,3010.024783,39970.00828,9426777
18-11-06,43750,43800,42950,43750,43098.48952,3009.200373,40089.28914,7713625
18-11-07,43600,44500,43400,44000,43237.18344,3027.782308,40209.40113,11553998
18-11-08,44900,45050,44050,44050,43362.23214,3030.056632,40332.17551,12617397
18-11-09,44450,44850,43900,44300,43506.50412,3048.400202,40458.10392,7318500
18-11-12,43850,45250,43700,45200,43767.04195,3113.655825,40653.38612,8552566
18-11-13,43900,44500,43400,44500,43879.80472,3056.78431,40823.02041,9311126
18-11-14,44500,44500,43800,44100,43913.68092,3031.529412,40882.15151,6783344
18-11-16,44600,44750,43700,44000,43926.96078,3026.064689,40900.89609,7777124
18-11-19,44050,44250,43450,43650,43884.35143,3000.559126,40883.7923,7538720
18-11-20,42450,43000,42100,42800,43717.52813,2939.55813,40777.97,9420664
18-11-21,41800,42300,41800,42100,43468.67765,2892.398662,40576.27899,10769589
18-11-22,42000,42650,42000,42450,43311.95801,2921.95224,40390.00577,5970796
18-11-23,42450,42600,41900,42400,43171.65678,2915.975184,40255.68159,5192638
18-11-26,42150,42800,42100,42600,43083.70958,2931.249772,40152.45981,6613009
18-11-27,42900,43100,42500,43050,43078.52349,2963.408137,40115.11536,8367091
